データコード,FM09'FX180110002
系列名称,"実質実効為替レート指数"
1996,141.194166666667
1997,139.591666666667
1998,138.591666666667
1999,156.331666666667
2000,158.769166666667
2001,140.334166666667
2002,136.074166666667
2003,136.656666666667
2004,135.7025
2005,123.921666666667
2006,113.4825
2007,106.475
2008,119.933333333333
2009,125.876666666667
2010,129.435833333333
2011,130.615
2012,123.083333333333
2013,99.8991666666667
2014,94.9225
2015,91.7375
2016,102.545
2017,96.5133333333333
2018,96.7066666666667
2019,99.4
2020,99.0608333333333
2021,88.91
2022,76.8458333333333
2023,73.2616666666667
2024,71.1133333333333
2025,74.045
